央视频道,#genre#,-1#-1#null#null#starttime={start|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}&endtime={end|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}#null#0#-1#0
CCTV-1,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000131#http://111.48.34.138/000000001000PLTV/88888888/224/3221229665/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229968/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230440/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-2,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000357#http://111.48.34.138/000000001000PLTV/88888888/224/3221229893/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230359/1.m3u8
CCTV-3,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000391#http://111.48.34.138/000000001000PLTV/88888888/224/3221230150/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230394/1.m3u8
CCTV-4,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000409#http://111.48.34.138/000000001000PLTV/88888888/224/3221229862/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8
CCTV-5,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000322#http://111.48.34.138/000000001000PLTV/88888888/224/3221230165/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8
CCTV-5＋,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000503#http://111.48.34.138/000000001000PLTV/88888888/224/3221230455/1.m3u8
CCTV-6,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000392#http://111.48.34.138/000000001000PLTV/88888888/224/3221230154/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230451/1.m3u8
CCTV-7,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000358#http://111.48.34.138/000000001000PLTV/88888888/224/3221229895/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230442/1.m3u8
CCTV-8,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000393#http://111.48.34.138/000000001000PLTV/88888888/224/3221230169/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230445/1.m3u8
CCTV-9,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000359#http://111.48.34.138/000000001000PLTV/88888888/224/3221229864/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230330/1.m3u8
CCTV-10,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000360#http://111.48.34.138/000000001000PLTV/88888888/224/3221229874/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230491/1.m3u8
